"AGE"	"n_older_m"	"n_younger_m"	"n_older_f"	"n_younger_f"	"p_older_m"	"p_younger_m"	"p_older_f"	"p_younger_f"	"p_same_m"	"n_same_m"	"p_same_f"	"n_same_f"
0	160506473	0	163425618	0	0.977635465376493	0	0.979069335106629	0	0.0223645346235067	3671770	0.0209306648933711	3493733
1	158542165	0	161548873	0	0.965670981142124	0	0.967825911328879	0	0.0343290188578763	5636078	0.0321740886711211	5370478
2	156534735	1767358	159613946	1686113	0.953443843347745	0.0107648733943389	0.956233924010404	0.0101013632625495	0.0357912832579162	5876150	0.0336647127270462	5619292
3	154478336	3671770	157664079	3493733	0.940918438261031	0.0223645346235067	0.944552432389939	0.0209306648933712	0.0367170271154626	6028137	0.0345169027166898	5761539
4	152503156	5636078	155768930	5370478	0.928887733315553	0.0343290188578763	0.933198751773244	0.0321740886711212	0.0367832478265711	6039009	0.0346271595556347	5779943
5	150497321	7643508	153849357	7305405	0.916670310572151	0.0465561566522551	0.921698748996454	0.0437660759895957	0.0367735327755944	6037414	0.0345351750139503	5764589
6	148476549	9699907	151915245	9255272	0.904361907442267	0.0590815617389693	0.910111644275444	0.055447567610061	0.0365565308187639	6001787	0.0344407881144949	5748834
7	146408396	11675087	149954274	11150421	0.891764909434437	0.0711122666844473	0.898363629511116	0.0668012482267559	0.0371228238811156	6094760	0.0348351222621277	5814656
8	144305299	13680922	147947269	13069994	0.878955069582515	0.0833296894278495	0.886339828867415	0.078301251003546	0.0377152409896359	6192022	0.0353589201290389	5902088
9	142128327	15701694	145884748	15004106	0.865695261460436	0.0956380925577331	0.87398343646807	0.0898883557245559	0.0386666459818308	6348222	0.0361282078073741	6030497
10	139946782	17769847	143802217	16965077	0.85240759946493	0.108235090565563	0.861507165816862	0.101636370488884	0.0393573099695068	6461614	0.0368564636942544	6152057
11	137745786	19872944	141696392	18972082	0.839001462575038	0.121044930417485	0.848891342741921	0.113660171132585	0.0399536070074766	6559513	0.0374484861254942	6250877
12	135508542	22049916	139575632	21034603	0.825374541253922	0.134304738539564	0.836186045319575	0.12601656353193	0.0403207202065136	6619785	0.0377973911484954	6309116
13	133265775	24231461	137457518	23117134	0.811713979665381	0.14759240053507	0.823496599863967	0.138492834183138	0.0406936197995492	6681007	0.0380105659528955	6344699
14	131063111	26432457	135350585	25222959	0.798297683085816	0.160998537424962	0.81087413885284	0.151108657258079	0.0407037794892225	6682675	0.0380172038890806	6345807
15	128875077	28669701	133279114	27343719	0.784970496973829	0.174625458746078	0.798464127745141	0.163813954680425	0.0404040442800938	6633465	0.0377219175744339	6296518
16	126692471	30912468	131211378	29461833	0.771676372489868	0.188286020334619	0.786076492712939	0.176503400136033	0.0400376071755135	6573304	0.0374201071510276	6246140
17	124306202	33115132	128896689	31568766	0.757141748678599	0.201702316914185	0.772209382721599	0.18912586114716	0.0411559344072162	6756909	0.0386647561312409	6453896
18	122057071	35303166	126766707	33640237	0.743442424341208	0.215029503026171	0.759448837061438	0.201535872254859	0.0415280726326204	6818006	0.0390152906837027	6512407
19	119720214	37485772	124566429	35707973	0.729208766109161	0.228323627510132	0.746267153890384	0.213923507287061	0.0424676063807067	6972257	0.0398093388225551	6644949
20	117388383	39872041	122378850	38022662	0.715005720946837	0.242858251321401	0.733161549376022	0.227790617278401	0.0421360277317623	6917819	0.0390478333455777	6517839
21	115135438	42121172	120231984	40152644	0.701283165760277	0.256557575658792	0.72029985307096	0.240551162938562	0.0421592585809314	6921633	0.0391489839904781	6534723
22	112885603	44458029	118082354	42352922	0.687579553400386	0.270791233890839	0.707421597870938	0.253732846109616	0.0416292127087753	6834611	0.0388455560194456	6484075
23	110637754	46789860	115928120	44540501	0.673888037649422	0.284994279053163	0.694515760488429	0.266838450623978	0.0411176832974147	6750629	0.0386457888875928	6450730
24	108329183	49042805	113756484	46687367	0.659826667775949	0.298716834239723	0.681505669165943	0.27970014692904	0.0414564979843279	6806255	0.0387941839050165	6475500
25	106041761	51292640	111568310	48836997	0.645894115214767	0.312420446599614	0.668396500055886	0.292578402129062	0.0416854381856188	6843842	0.039025097815052	6514044
26	103718501	53540489	109363117	50991231	0.631743275508193	0.326111962350578	0.655185371527116	0.305484239511571	0.0421447621412296	6919253	0.0393303889613134	6565003
27	101402065	55849060	107107617	53162867	0.617634000383352	0.340173332224051	0.641672857930055	0.318494330834056	0.0421926673925971	6927118	0.0398328112358884	6648867
28	99089891	58136482	104851568	55351041	0.603550684849271	0.354105884785233	0.628157055319488	0.331603499944114	0.0423434303654961	6951870	0.0402394447363984	6716742
29	96658535	60459742	102509143	57556234	0.588741438778828	0.368256724491807	0.614123781250503	0.344814628472884	0.043001836729365	7059966	0.0410615902766122	6853974
30	94380772	62776178	100289503	59811734	0.574867718617259	0.382365999616648	0.600826101941889	0.358327142069945	0.0427662817660925	7021293	0.0408467559881658	6818114
31	92079516	65088352	98053619	62067783	0.560850903977575	0.396449315150729	0.587431106175341	0.371842944680512	0.0426997808716956	7010375	0.0407259491441469	6797949
