AGE,n_older_m,n_younger_m,n_older_f,n_younger_f,p_older_m,p_younger_m,p_older_f,p_younger_f,p_same_m,n_same_m,p_same_f,n_same_f
1,4073,0,6386,0,0.305803739,0,0.479465425,0,0.086417899,1151,0.128312936,1709
2,3004,0,5716,0,0.297249159,0,0.565604591,0,0.04601227,465,0.09113398,921
3,3804,0,4592,0,0.391801421,0,0.47296323,0,0.063240293,614,0.071995056,699
4,4389,0,4903,0,0.407710172,0,0.455457501,0,0.067254993,724,0.069577334,749
5,4362,0,5075,0,0.401509573,0,0.467139175,0,0.062592047,680,0.068759205,747
6,4229,0,4945,0,0.398698972,0,0.466201565,0,0.057603469,611,0.077495993,822
7,5585,0,7574,0,0.366085475,0,0.496460409,0,0.05715784,872,0.080296277,1225
8,4043,0,5302,0,0.387223446,0,0.507805766,0,0.043482425,454,0.061488363,642
9,5449,0,6239,0,0.465487784,0,0.532974543,0,0.000427131,5,0.001110542,13
10,4611,0,5000,0,0.477972427,0,0.518295843,0,0.002073183,20,0.001658547,16
11,2556,10,2787,36,0.431028668,0.001686341,0.469983137,0.006070826,0.012310287,73,0.078920742,468
12,6065,23,10275,87,0.299550551,0.001135971,0.50748259,0.004296933,0.046426631,940,0.141107325,2857
